Product Title,Product URL,Image URL,Price,_id
Pokemon TCG - s7R - 046/067 (RR) - Rayquaza V,https://okini.land/en/30264-pokemon-tcg-s7r-046-067-rr-rayquaza-v-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4a9
Pokemon TCG - s3a - 029/076 (R) - Xerneas,https://okini.land/en/30757-pokemon-tcg-s3a-029-076-r-xerneas-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 104,645194cbfcd985d4a2e0f4aa
Pokemon TCG - s8 - 013/100 (U) - Arcanine,https://okini.land/en/31375-pokemon-tcg-s8-013-100-u-arcanine-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 104,645194cbfcd985d4a2e0f4ab
Pokemon TCG - s11 - 045/100 (C) - Shuppet,https://okini.land/en/36752-pokemon-tcg-s11-045-100-c-shuppet-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 51,645194cbfcd985d4a2e0f4ac
Pokemon TCG - s12a - 115/172 (Kira) (K) - Radiant Eternatus,https://okini.land/en/41666-pokemon-tcg-s12a-115-172-kira-k-radiant-eternatus-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 195,645194cbfcd985d4a2e0f4ad
Pokemon TCG - s8b - 024/184 (Parallel) - Horsea,https://okini.land/en/31613-pokemon-tcg-s8b-024-184-parallel-horsea-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4ae
Pokemon TCG - s8a - 002/028 - Mew,https://okini.land/en/31500-pokemon-tcg-s8a-002-028-mew-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 156,645194cbfcd985d4a2e0f4af
Pokemon TCG - s2a - 052/070 (C) - Lairon,https://okini.land/en/30625-pokemon-tcg-s2a-052-070-c-lairon-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4b0
Pokemon TCG - s5R - 036/070 (RR) - Necrozma V,https://okini.land/en/30230-pokemon-tcg-s5r-036-070-rr-necrozma-v-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4b1
Pokemon TCG - s4a - 027/190 (Kira) (RR) - Centiskorch V,https://okini.land/en/32179-pokemon-tcg-s4a-027-190-kira-rr-centiskorch-v-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 104,645194cbfcd985d4a2e0f4b2
Pokemon TCG - SM12a - 165/173 (Reverse) - Viridian Forest,https://okini.land/en/44062-pokemon-tcg-sm12a-165-173-reverse-viridian-forest-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 234,645194cbfcd985d4a2e0f4b3
Pokemon TCG - s6a - 026/069 (C) - Pikachu,https://okini.land/en/31210-pokemon-tcg-s6a-026-069-c-pikachu-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 122,645194cbfcd985d4a2e0f4b4
Pokemon TCG (KR) - s1H - 041/060 (C) - Bisharp,https://okini.land/en/49450-pokemon-tcg-kr-s1h-041-060-c-bisharp-pokémon-korea-pokémon-korea.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 10,645194cbfcd985d4a2e0f4b5
Pokemon TCG - s12a - 157/172 - Roxanne,https://okini.land/en/41708-pokemon-tcg-s12a-157-172-roxanne-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 82,645194cbfcd985d4a2e0f4b6
Pokemon TCG - sC - 003/020 - Zweilous,https://okini.land/en/34832-pokemon-tcg-sc-003-020-zweilous-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4b7
Pokemon TCG - s12 - 088/098 (C) - Oranguru,https://okini.land/en/40389-pokemon-tcg-s12-088-098-c-oranguru-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 51,645194cbfcd985d4a2e0f4b8
Pokemon TCG - s10D - 073/067 (SR) - Machamp V,https://okini.land/en/34088-pokemon-tcg-s10d-073-067-sr-machamp-v.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,"¥ 5,267",645194cbfcd985d4a2e0f4b9
Pokemon TCG - s6K - 076/070 (SR) - Shadow Rider Calyrex V,https://okini.land/en/29531-pokemon-tcg-s6k-076-070-shadow-rider-calyrex-v-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,"¥ 4,922",645194cbfcd985d4a2e0f4ba
Pokemon TCG - sA - 006/023 - Grookey,https://okini.land/en/34406-pokemon-tcg-sa-006-023-grookey-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 104,645194cbfcd985d4a2e0f4bb
Pokemon TCG - SM12a - 025/173 (Reverse) - Incineroar,https://okini.land/en/43810-pokemon-tcg-sm12a-025-173-reverse-incineroar-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 156,645194cbfcd985d4a2e0f4bc
Pokemon TCG - sF - 026/033 - Training Court,https://okini.land/en/34993-pokemon-tcg-sf-026-033-training-court-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 104,645194cbfcd985d4a2e0f4bd
Pokemon TCG - s10D - 048/067 (RR) - Origin Dialga V,https://okini.land/en/34063-pokemon-tcg-s10d-048-067-rr-origin-dialga-v.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 130,645194cbfcd985d4a2e0f4be
Pokemon TCG - s4a - 183/190 - Heat Fire Energy,https://okini.land/en/32436-pokemon-tcg-s4a-183-190-heat-fire-energy-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 82,645194cbfcd985d4a2e0f4bf
Pokemon TCG - sD - 052/127 - Pangoro,https://okini.land/en/34733-pokemon-tcg-sd-052-127-pangoro-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 65,645194cbfcd985d4a2e0f4c0
Pokemon TCG - s9 - 115/100 (SR) - Cheren's Care,https://okini.land/en/30079-pokemon-tcg-s9-115-100-sr-cheren-s-care-the-pokémon-company.html,https://media.okini.land/112681-large_default/pokemon-tcg-s7r-061-067-u-spirit-mask.jpg,¥ 748,645194cbfcd985d4a2e0f4c1
